PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Park, HM; Pancras, J				Park, Hee Mok; Pancras, Joseph			Social and Spatiotemporal Impacts of Casino Jackpot Events	MARKETING SCIENCE																		Park, Heemok/0000-0003-1813-8174													0732-2399	1526-548X				MAY-JUN	2022	41	3					575	592		10.1287/mksc.2021.1342	http://dx.doi.org/10.1287/mksc.2021.1342		JAN 2022											WOS:000747754600001
J	Luo, XM; Tong, SL; Lin, ZJ; Zhang, C				Luo, Xueming; Tong, Siliang; Lin, Zhijie; Zhang, Cheng			The Impact of Platform Protection Insurance on Buyers and Sellers in the Sharing Economy: A Natural Experiment	JOURNAL OF MARKETING																															0022-2429	1547-7185				MAR	2021	85	2					50	69		10.1177/0022242920962510	http://dx.doi.org/10.1177/0022242920962510		NOV 2020											WOS:000617528200004
J	Jo, W; Sunder, S; Choi, J; Trivedi, M				Jo, Wooyong; Sunder, Sarang; Choi, Jeonghye; Trivedi, Minakshi			Protecting Consumers from Themselves: Assessing Consequences of Usage Restriction Laws on Online Game Usage and Spending	MARKETING SCIENCE																	Sunder, Sarang/AAI-5645-2021	Sunder, Sarang/0000-0002-2875-9209; Jo, Wooyong/0000-0001-9789-3113													0732-2399	1526-548X				JAN-FEB	2020	39	1			SI		117	133		10.1287/mksc.2019.1174	http://dx.doi.org/10.1287/mksc.2019.1174													WOS:000513850000006
J	von Wangenheim, F; Bayon, T				v. Wangenheim, Florian; Bayon, Tomas			Behavioral consequences of overbooking service capacity	JOURNAL OF MARKETING																															0022-2429	1547-7185				OCT	2007	71	4					36	47																WOS:000250316600003
J	Gill, M; Sridhar, S; Grewal, R				Gill, Manpreet; Sridhar, Shrihari; Grewal, Rajdeep			Return on Engagement Initiatives: A Study of a Business-to-Business Mobile App	JOURNAL OF MARKETING																															0022-2429	1547-7185				JUL	2017	81	4					45	66		10.1509/jm.16.0149	http://dx.doi.org/10.1509/jm.16.0149													WOS:000407161500003
J	Chesnes, M; Dai, W; Jin, GZ				Chesnes, Matthew; Dai, Weijia (Daisy); Jin, Ginger Zhe			Banning Foreign Pharmacies from Sponsored Search: The Online Consumer Response	MARKETING SCIENCE																	Chesnes, Matthew/ABA-1595-2021														0732-2399	1526-548X				NOV-DEC	2017	36	6					879	907		10.1287/mksc.2017.1058	http://dx.doi.org/10.1287/mksc.2017.1058													WOS:000423123200006
J	Ada, S; Abou Nabout, N; Feit, EM				Ada, Sila; Abou Nabout, Nadia; Feit, Elea McDonnell			Context Information Can Increase Revenue in Online Display Advertising Auctions: Evidence from a Policy Change	JOURNAL OF MARKETING RESEARCH																	Feit, Elea McDonnell/L-6621-2018; ADA, SILA/L-7551-2018	Feit, Elea McDonnell/0000-0002-1067-0791; ADA, SILA/0000-0002-5886-4587													0022-2437	1547-7193				OCT	2022	59	5					1040	1058	00222437211070219	10.1177/00222437211070219	http://dx.doi.org/10.1177/00222437211070219		MAR 2022											WOS:000776599000001
J	Calzada, J; Gil, R				Calzada, Joan; Gil, Ricard			What Do News Aggregators Do? Evidence from Google News in Spain and Germany	MARKETING SCIENCE																		Calzada, Joan/0000-0002-2976-1677; Gil, Ricard/0000-0003-3627-0988													0732-2399	1526-548X				JAN-FEB	2020	39	1			SI		134	167		10.1287/mksc.2019.1150	http://dx.doi.org/10.1287/mksc.2019.1150													WOS:000513850000007
J	Lambrecht, A; Tucker, C; Zhang, X				Lambrecht, Anja; Tucker, Catherine; Zhang, Xu			TV Advertising and Online Sales: A Case Study of Intertemporal Substitution Effects for an Online Travel Platform	JOURNAL OF MARKETING RESEARCH																		/0000-0002-1847-4832													0022-2437	1547-7193				2023 AUG 1	2023										10.1177/00222437231180171	http://dx.doi.org/10.1177/00222437231180171		AUG 2023											WOS:001041335900001
J	Wang, Y; Qin, MS; Luo, XM; Kou, Y				Wang, Yang; Qin, Marco Shaojun; Luo, Xueming; Kou, Yu (Eric)			Frontiers: How Support for Black Lives Matter Impacts Consumer Responses on Social Media	MARKETING SCIENCE																		Qin, Shaojun/0000-0002-2787-5929; Wang, Yang/0000-0002-2996-2612; KOU, YU (Eric)/0000-0002-5344-9819													0732-2399	1526-548X				NOV-DEC	2022	41	6					1029	1044		10.1287/mksc.2022.1372	http://dx.doi.org/10.1287/mksc.2022.1372		AUG 2022											WOS:000836245500001
